"Source:","D:\Dropbox\Nixie\Synbal\Synbal\Synbal.kicad_sch"
"Date:","22/12/2024 16:21:06"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","103"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","10uF","C_Polarized","","Polarized capacitor",""
"C2, C9, ","2","4u7","C_Polarized","","Polarized capacitor",""
"C3, C4, C5, C6, C7, C8, C14, ","7","10n","C","","Unpolarized capacitor",""
"C10, ","1","22nF","C","","Unpolarized capacitor",""
"C11, C12, ","2","100n","C","","Unpolarized capacitor",""
"C13, ","1","2u2","C_Polarized","","Polarized capacitor",""
"C15, C18, C19, C20, ","4","1uF","C_Polarized","","Polarized capacitor",""
"C16, C17, ","2","1n","C","","Unpolarized capacitor",""
"C21, C22, C23, C24, ","4","100nF","C","","Unpolarized capacitor",""
"D1, ","1","1N4148","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","100V 0.15A standard switching diode, DO-35",""
"D2, ","1","LED","LED","","Light emitting diode",""
"J1, ","1","Barrel_Jack_Switch","Barrel_Jack_Switch","","DC Barrel Jack with an internal switch",""
"J2, ","1","Trigger","AudioJack2","","Audio Jack, 2 Poles (Mono / TS)",""
"J3, ","1","Mono Out","AudioJack2","","Audio Jack, 2 Poles (Mono / TS)",""
"J4, ","1","Stereo Out","AudioJack3","","Audio Jack, 3 Poles (Stereo / TRS)",""
"Q1, ","1","BC108","BC108","Package_TO_SOT_THT:TO-18-3","0.1A Ic, 30V Vce, Low Noise General Purpose NPN Transistor, TO-18",""
"R1, R2, R14, R15, R35, ","5","47k","R","","Resistor",""
"R3, R10, R11, R13, R31, R34, R45, R46, R48, R49, R50, R53, R54, ","13","100k","R","","Resistor",""
"R4, R38, R51, R52, ","4","220k","R","","Resistor",""
"R5, ","1","330k","R","","Resistor",""
"R6, ","1","390k","R","","Resistor",""
"R7, ","1","470k","R","","Resistor",""
"R8, ","1","560k","R","","Resistor",""
"R9, R18, R19, R20, R22, R25, R29, ","7","10k","R","","Resistor",""
"R12, R23, R39, R44, ","4","4k7","R","","Resistor",""
"R16, ","1","150k","R","","Resistor",""
"R17, R27, ","2","2M2","R","","Resistor",""
"R21, ","1","R","R","","Resistor",""
"R24, ","1","680R","R","","Resistor",""
"R26, R32, R33, R37, R41, ","5","22k","R","","Resistor",""
"R28, R30, R36, R40, R42, R43, R47, ","7","1k","R","","Resistor",""
"RV1, ","1","Tune 10k","R_Potentiometer","","Potentiometer",""
"RV2, ","1","Sensitivity 47k","R_Potentiometer_Trim","","Trim-potentiometer",""
"RV3, ","1","Mix 100k","R_Potentiometer","","Potentiometer",""
"RV4, ","1","Decay 1M","R_Potentiometer","","Potentiometer",""
"RV5, ","1","Resonance 470k","R_Potentiometer","","Potentiometer",""
"RV6, ","1","Sweep 10k","R_Potentiometer","","Potentiometer",""
"RV7, ","1","Frequency 10k","R_Potentiometer","","Potentiometer",""
"RV8, ","1","Volume 47k","R_Potentiometer","","Potentiometer",""
"RV9, ","1","Pan 100k","R_Potentiometer","","Potentiometer",""
"SW1, ","1","Manual","SW_Push","","Push button switch, generic, two pins",""
"SW2, ","1","Filter","SW_DP3T","","Switch, three position, dual pole triple throw, 3 position switch, SP3T",""
"U1, ","1","LM324","LM324","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","Low-Power, Quad-Operational Amplifiers, DIP-14/SOIC-14/SSOP-14",""
"U2, ","1","40106","40106","Package_SO:SO-14_3.9x8.65mm_P1.27mm","Hex Schmitt trigger inverter",""
"U3, ","1","4070","4070","Package_SO:SO-14_3.9x8.65mm_P1.27mm","Quad Xor 2 inputs",""
"U4, ","1","LM741","LM741","","Operational Amplifier, DIP-8/TO-99-8",""
"U5, ","1","LM13700","LM13700","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","Dual Operational Transconductance Amplifiers with Linearizing Diodes and Buffers, DIP-16/SOIC-16",""
"U6, ","1","CA3080","CA3080","","2MHz, Operational Transconductance Amplifier (OTA), gM spread 2:1, DIP-8/SOIC-8",""
"U7, ","1","RC4558","RC4558","Package_SO:SOP-8_3.9x4.9mm_P1.27mm","Dual General Purpose, Operational Amplifier, DIP-8/SOIC-8/SSOP-8",""
